Nombre	Edad	Email	Teléfono	Educación	Ocupación	Años de experiencia	Estado civil	Hijos	RFC	CURP	Entidad	Salario mensual
"""JUAN PEDRO""""AGUILAR""""CARRILLO"""	53	a.owen3@hotmail.com	237-6813-98	Doctorado	Conductor	14	Soltero	3	AUCJ600814FR8	AUCJ600814HVZGRN01	VERACRUZ	5850.0
"""PATRICIA""""SANTIAGO""""MENDEZ"""	47	d.bennet4@hotmail.com	524-7760-83	Maestría	Geólogo	11	Soltero	4	SAMP690611R94	SAMP690611MVZNNT07	VERACRUZ	42026.4
- RUIZ ROSALBA	49	a.adam5@gmail.com	336-3957-36	Maestría	Fotógrafo	1	Casado	5	RURO800717IF4	RUXR800717MOCZXS07	OAXACA	33987.200000000004
. ACEVEDO MARISOL	47	b.spence4@hotmail.com	442-2756-14	Primaria	Arqueólogo	5	Soltero	4	AEMA850521D36	AEXM850521MOCCXR04	OAXACA	39354.0
. BAUTISTA IRMA GEORGINA	51	a.davi3@yahoo.com	540-8078-09	Primaria	Bioquímico	0	Soltero	3	BAIR561009SF7	BAXI561009MOCTXR04	OAXACA	26986.0
. BELTRAN IRENE	42	b.taylo2@outlook.com	234-6373-31	Secundaria	Farmacéutico	2	Casado	2	BEIR850430731	BEXI850430MOCLXR01	OAXACA	23894.0
. CISNEROS PATRICIA ARACELI	47	v.walke2@randatmail.com	620-7275-57	Doctorado	Físico	4	Soltero	2	CIPA7003136Y2	CIXP700313MOCSXT02	OAXACA	54085.200000000004
. CORTES LUIS ADRIAN	51	r.thoma0@gmail.com	191-3365-63	Doctorado	Farmacéutico	9	Casado	0	COLU7709215HA	COXL770921HOCRXS07	OAXACA	25948.0
. CORTES PATRICIA ROSARIO	43	t.perkin4@outlook.com	005-7491-45	Secundaria	Profesor	0	Soltero	4	COPA711114HK7	COPA711114MOCRXT06	OAXACA	30078.0
. DIAZ LUZ BEATRIZ	50	a.walke2@outlook.com	669-8987-52	Doctorado	Diseñador gráfico	0	Soltero	2	DIXL640819HW3	DIXL640819MOCZXZ09	OAXACA	33987.200000000004
. ESTEBAN FRANCISCA	51	v.william4@yahoo.com	535-1152-98	Secundaria	Florista	1	Soltero	4	EEFR7310109T9	EEXF731010MOCSXR04	OAXACA	36262.0
. ESTOLANO LIBRADA	44	a.wilso0@hotmail.com	826-1801-81	Doctorado	Bombero	3	Casado	0	EOLI6808178A8	EOXL680817MTSSXB01	OAXACA	42026.4
. GARCIA DENICE	47	a.holme1@gmail.com	453-0126-41	Primaria	Cantante	9	Soltero	1	GADE750129NZ6	GADE750129MOCRXN00	OAXACA	17710.0
. GONZALEZ ANGELICA LIVIA	42	r.morriso5@yahoo.com	360-5014-77	Licenciatura	Bailarín	7	Soltero	5	GOAN7711212Z6	GOXA771121MOCNXN09	OAXACA	4500.0
. HERNANDEZ ABIGAIL	41	a.parke5@outlook.com	532-6810-96	Primaria	Bioquímico	3	Soltero	5	HEAB800706S29	HEXA800706MOCRXB07	OAXACA	2250.0
. HERNANDEZ FELIX ELIO	45	h.fowle3@hotmail.com	942-6880-60	Secundaria	Trabajador social	3	Casado	3	HEFE730322R79	HEXF730322HOCRXL07	OAXACA	30078.0
. HERNANDEZ MARIA DE LOS ANGELES	53	a.phillip5@outlook.com	287-0675-32	Primaria	Meteorólogo	11	Casado	5	HEAN7212083M1	HEAN721208MOCRXN04	OAXACA	33170.0
. JIMENEZ FABIAN JOSE MIGUEL	46	b.robinso2@randatmail.com	787-9752-92	Secundaria	Diseñador de interiores	9	Soltero	2	JIFM830825QK1	JIFM830825HOCMBG03	OAXACA	36262.0
. LOPEZ HERIBERTO	52	a.evan0@randatmail.com	106-8878-88	Primaria	Joyero	7	Soltero	0	LOHE550303BQ9	LOXH550303HOCPXR00	OAXACA	42446.0
. LOPEZ HIRA Y SUHEI	43	c.clar0@randatmail.com	654-6665-38	Maestría	Peluquero	5	Soltero	0	LOHS880410CH2	LOHS880410MCSPRH03	OAXACA	38006.8
. LORENZANA JOSE IVAN	42	m.murph1@yahoo.com	654-6733-05	Secundaria	Productor	2	Soltero	1	LOIV8112219G2	LOXI811221HOCRXV00	OAXACA	36262.0
. MACHUCA SILVIA	47	d.richardso5@gmail.com	954-5382-68	Doctorado	Matemático	1	Casado	5	MASI611022114	MAXS611022MOCCXL06	OAXACA	25948.0
. MALDONADO ROGELIO	41	a.sulliva5@hotmail.com	578-6290-82	Primaria	Chef	3	Casado	5	MARO800129QLA	MAXR800129HOCLXG04	OAXACA	8434.0
. MARTINEZ HELIODORA	45	f.rya3@gmail.com	314-0156-58	Secundaria	Asegurador	6	Soltero	3	MAHE560703Q74	MAXH560703MOCRXL01	OAXACA	42446.0
. MENDOZA SILVIANO	47	e.steven1@randatmail.com	693-0903-34	Licenciatura	Conductor	11	Soltero	1	MESI720504U81	MEXS720504HOCNXL05	OAXACA	7592.0
. MORALES NELI	41	a.rya1@randatmail.com	355-5416-55	Secundaria	Meteorólogo	1	Soltero	1	MONE760129RV8	MOXN760129MOCRXL00	OAXACA	39354.0
. NARVAEZ SARA	48	p.henderso1@yahoo.com	512-8428-60	Doctorado	Astrónomo	11	Soltero	1	NASA8003043D0	NAXS800304MOCRXR03	OAXACA	5850.0
. OCHOA JIMENEZ FRANCISCO JAVIER	53	h.william5@outlook.com	625-7547-38	Secundaria	Asegurador	5	Soltero	5	JIFR641119U62	OOJF641119HVZCMR08	OAXACA	20802.0
. OLIVERA ASUNCION	45	a.morriso2@randatmail.com	123-0929-87	Doctorado	Geólogo	0	Soltero	2	OIAS6708151D2	OIXA670815MOCLXS01	OAXACA	42026.4
. OLMOS YADIRA	43	l.taylo3@hotmail.com	533-2232-91	Licenciatura	Conferencista	2	Soltero	3	OOYA7911307Z9	OOXY791130MOCLXD05	OAXACA	23052.0
. ORTIZ NOEMI	49	j.smit0@hotmail.com	942-8761-45	Maestría	Diseñador de interiores	6	Soltero	0	OINO850530LD8	OIXN850530MOCRXM08	OAXACA	33987.200000000004
. PEREZ JUAN GABRIEL	53	b.elliot2@yahoo.com	601-4446-69	Secundaria	Economista	6	Soltero	2	PEJU700516T73	PEXJ700516HOCRXN00	OAXACA	36262.0
. PEREZ MAXIMINO FELICIANO	53	s.smit2@hotmail.com	501-8373-45	Maestría	Joyero	14	Soltero	2	PEMA620608I72	PEXM620608HOCRXX01	OAXACA	29967.600000000002
. PEREZ REYNA	44	v.cunningha3@outlook.com	877-1797-75	Secundaria	Arqueólogo	0	Casado	3	PERE740107JE9	PEXR740107MOCRXY02	OAXACA	8434.0
. POSADA MANUEL	42	j.hal5@hotmail.com	511-7563-37	Doctorado	Contador	8	Casado	5	POMA570602P15	POXM570602HOCSXN05	OAXACA	50065.6
. QUEVEDO NATIVIDAD DOLORES	52	w.murph3@outlook.com	127-4774-37	Secundaria	Peluquero	7	Casado	3	QUXN680328FI7	QUXN680328MOCVXT14	OAXACA	39354.0
. RAMIREZ CAMELIA	41	o.robinso0@randatmail.com	591-4187-77	Licenciatura	Electricista	7	Soltero	0	RAXC810917J49	RAXC810917MOCMXM00	OAXACA	10684.0
. RAMIREZ ISRAEL VICENTE	41	a.hal5@outlook.com	691-5664-02	Licenciatura	Arquitecto	3	Soltero	5	RAIS8309017Y4	RAXI830901HOCMXS07	OAXACA	32328.0
. RIOS JUAN GABRIEL	41	a.scot0@outlook.com	950-2755-00	Licenciatura	Geólogo	1	Casado	0	RIJU820315KJ3	RIXJ820315HVZSXN09	OAXACA	32328.0
. RIVAS GUSTAVO ALFONSO	44	a.spence2@hotmail.com	386-0165-23	Primaria	Científico	10	Soltero	2	RIGU800908L35	RIXG800908HOCVXS07	OAXACA	42446.0
. RODRIGUEZ ERUBIEL	51	r.walke3@hotmail.com	879-5807-85	Secundaria	Científico	0	Soltero	3	ROER810215UL3		OAXACA	11526.0
. SALAZAR ADRIANA NATIVIDAD	53	l.cunningha2@randatmail.com	804-6454-38	Licenciatura	Chef	15	Soltero	2	SAAD730629FE0	SAXA730629MOCLXD07	OAXACA	29236.0
. SANCHEZ LAURA FLORENTINA	47	a.perkin0@hotmail.com	732-9504-38	Licenciatura	Bailarín	0	Casado	0	SALA7010162A4	SAXL701016MOCNXR07	OAXACA	44696.0
. SANTIAGO MARTIN PAULINO	41	e.lloy3@gmail.com	285-3758-42	Secundaria	Productor	7	Soltero	3	SAMA880130TU7	SAXM880130HOCNXR09	OAXACA	5342.0
. SANTOS CLARA SOFIA	53	p.steven5@gmail.com	192-8365-17	Secundaria	Diseñador gráfico	6	Casado	5	SACL630423BC3	SAXC630423MOCNXL03	OAXACA	26986.0
. SANTOS JUAN CELSO	42	a.dougla4@hotmail.com	692-9927-95	Primaria	Conductor	5	Soltero	4	SAXJ59032731A	SAXJ590327HOCNXN03	OAXACA	36262.0
. SILVA NOEMI	42	t.maso0@yahoo.com	795-6049-60	Licenciatura	Abogado	2	Casado	0	SINO801110PA3	SIXN801110MOCLXM08	OAXACA	4500.0
. VALENCIA MARIBEL ENRIQUETA	42	j.anderso1@yahoo.com	466-3417-19	Secundaria	Cocinero	5	Soltero	1	VAMA7109079L0	VAXM710907MOCLXR09	OAXACA	39354.0
. VASQUEZ ABRAHAM	42	l.edward2@hotmail.com	608-8714-94	Primaria	Geólogo	4	Casado	2	VAAB551009E84	VAXA551009HOCSXB05	OAXACA	30078.0
. ZAMORA MIGUEL	49	v.ferguso1@hotmail.com	501-2324-02	Maestría	Panadero	8	Casado	1	ZAMI830420EZ0	ZAXM830420HOCMXG06	OAXACA	25948.0
. ZARATE FILIO JONATAN	51	e.barne4@randatmail.com	789-4905-47	Licenciatura	Bailarín	0	Casado	4	ZAFJ8909142U2	ZAFJ890914HOCRLN07	OAXACA	16868.0
0LIVARES HERNANDEZ ALEJANDRO	41	s.murra5@outlook.com	818-6074-57	Doctorado	Arquitecto	4	Soltero	5	OIHA750226UC6	OIHA750226HHGLRL02	MICHOACAN	38006.8
1URITA CASTRO JACINTA	42	a.phillip1@hotmail.com	665-3993-29	Primaria	Bombero	3	Casado	1	ZUCJ670916MF1	ZUCJ670916MMNRSC00	MICHOACAN	14618.0
A GAYTAN RODRIGUEZ MYRIAM	42	c.mille3@gmail.com	313-4730-48	Maestría	Contador	6	Casado	3	AARM6607312Q0	AXRM660731MNLXDY06	MICHOACAN	46046.0
